territorio,fecha,factor_1_sube,factor_2_sube,factor_3_sube,factor_1_sube_valor,factor_2_sube_valor,factor_3_sube_valor,factor_1_baja,factor_2_baja,factor_3_baja,factor_1_baja_valor,factor_2_baja_valor,factor_3_baja_valor
Teror,2025-12-01,Estacionalidad,Pernoctaciones,Tasa de reserva,0.0017361145,0.00058147544,0.0005516465,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.10804329,-0.0003990984405390918,-0.00025662503321655095
Tijarafe,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0021319317,0.0009800721,0.0005867492,Inercia de la presión,Plazas hotel/día,Estancia media VV,-0.08585692,-0.0004765091580338776,-0.0003861789882648736
Tinajo,2025-12-01,Estacionalidad,Viajeros alojados,Pernoctaciones,0.0015928056,0.00092420145,0.00091080763,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13190663,-0.0004908216651529074,-0.0003840656136162579
Tuineje,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.0022910363,0.00053052057,0.0005287831,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.081794396,-0.0005232517723925412,-0.00013583192776422948
Tías,2025-12-01,Inercia de la presión,Estacionalidad,Plazas disponibles,0.5141932,0.003019683,0.000825554,Estancia media VV,Tasa de reserva,VV reservadas,-0.005195932,-0.002937721088528633,-0.0011503873392939568
Valle Gran Rey,2025-12-01,Inercia de la presión,Estacionalidad,Pernoctaciones,0.023946501,0.0034471585,0.0010211769,Plazas hotel/día,Estancia media hotel,Idx dependencia,-0.0006255016,-0.0004518977948464453,-0.00029705927590839565
Vallehermoso,2025-12-01,Estacionalidad,Pernoctaciones,Tasa de reserva,0.0015762072,0.000962662,0.000669396,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.126603,-0.0005027192528359592,-0.00024715132894925773
Valleseco,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.003244089,0.0006716597,0.00063186925,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.024132883,-0.0004758088616654277,-0.00025375644327141345
Valsequillo de Gran Canaria,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.0018937446,0.00058064226,0.0005353575,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.097056836,-0.00041274726390838623,-0.00023368035908788443
Valverde,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.00175971,0.0006866084,0.0005040895,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.11858122,-0.000505412055645138,-0.0003893239772878587
Vega de San Mateo,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.002272104,0.000569089,0.0005418008,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.08300374,-0.0003983048954978585,-0.000257045088801533
Vilaflor de Chasna,2025-12-01,Inercia de la presión,Tasa de reserva,Estacionalidad,0.5306991,0.0040455502,0.0036370337,Idx ancianidad,Estancia media hotel,Pob 0 14,-0.006830145,-0.0029451781883835793,-0.0025009973905980587
Villa de Mazo,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0016876031,0.0009338187,0.00044838237,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.12774843,-0.0005031362525187433,-0.00028757384279742837
Yaiza,2025-12-01,Inercia de la presión,Estacionalidad,Idx dep menores 15,0.51499546,0.0021324952,0.0019694562,Estancia media VV,Tasa de reserva,Ingresos,-0.0044825347,-0.0025389117654412985,-0.0012911863159388304
